time,x,xdot,theta_rad,theta_deg,thetadot,torque
0.192,-0.00905412994325161,0.12463314086198807,0.13876308500766754,7.950538635253906,0.035759542137384415,0.3977780044078827
0.194,-0.008801610209047794,0.12625958025455475,0.13883455097675323,7.9546332359313965,0.03573913499712944,0.39894726872444153
0.196,-0.008545841090381145,0.12788468599319458,0.13890603184700012,7.958728790283203,0.03573448583483696,0.40011581778526306
0.198,-0.008286823518574238,0.12950876355171204,0.138977512717247,7.96282434463501,0.03574336692690849,0.40129777789115906
0.2,-0.008024560287594795,0.1311318427324295,0.13904903829097748,7.966922760009766,0.03576555475592613,0.4024796187877655
0.202,-0.007759051863104105,0.13275405764579773,0.13912063837051392,7.971024990081787,0.035800181329250336,0.4036658704280853
0.20400000000000001,-0.007490300573408604,0.13437551259994507,0.1391923427581787,7.975133419036865,0.03584630414843559,0.4048571288585663
0.20600000000000002,-0.007218307815492153,0.13599638640880585,0.13926413655281067,7.979246616363525,0.03590291365981102,0.40605413913726807
0.20800000000000002,-0.006943074520677328,0.13761669397354126,0.13933607935905457,7.983368873596191,0.035969823598861694,0.407251238822937
0.21,-0.006664601620286703,0.13923661410808563,0.1394081711769104,7.987499237060547,0.03604569286108017,0.40845662355422974
0.212,-0.006382889114320278,0.14085616171360016,0.13948044180870056,7.991640090942383,0.03613046184182167,0.40966150164604187
0.214,-0.006097937934100628,0.14247547090053558,0.13955287635326385,7.995790481567383,0.03622327744960785,0.41087156534194946
0.216,-0.005809749010950327,0.1440945416688919,0.13962553441524506,7.999953269958496,0.03632407635450363,0.4120813310146332
0.218,-0.005518321879208088,0.14571356773376465,0.13969838619232178,8.004127502441406,0.03643142431974411,0.4133005142211914
0.22,-0.005223657004535198,0.14733248949050903,0.1397714912891388,8.008316040039062,0.03654578700661659,0.4145160913467407
0.222,-0.0049257539212703705,0.148951455950737,0.13984481990337372,8.012517929077148,0.03666619956493378,0.41573798656463623
0.224,-0.004624613095074892,0.15057051181793213,0.13991840183734894,8.016733169555664,0.03679225221276283,0.41696253418922424
0.226,-0.004320233594626188,0.1521896868944168,0.13999225199222565,8.020964622497559,0.03692379593849182,0.4181879758834839
0.228,-0.004012615419924259,0.15380902588367462,0.14006637036800385,8.025211334228516,0.03706044703722,0.4194160997867584
0.23,-0.003701758338138461,0.15542858839035034,0.14014077186584473,8.029474258422852,0.037202004343271255,0.4206455945968628
0.232,-0.003387661650776863,0.15704843401908875,0.14021547138690948,8.033754348754883,0.03734777122735977,0.4218801259994507
0.234,-0.0030703244265168905,0.1586686074733734,0.14029046893119812,8.03805160522461,0.03749770298600197,0.42311516404151917
0.23600000000000002,-0.002749746199697256,0.16028912365436554,0.14036576449871063,8.042365074157715,0.037651583552360535,0.4243520498275757
0.23800000000000002,-0.002425926038995385,0.1619100123643875,0.1404413878917694,8.046698570251465,0.03780920431017876,0.42559072375297546
0.24,-0.0020988634787499905,0.1635313332080841,0.14051732420921326,8.05104923248291,0.037970170378685,0.4268325865268707
0.242,-0.0017685572383925319,0.1651531159877777,0.14059358835220337,8.055418968200684,0.038134388625621796,0.4280756413936615
0.244,-0.0014350063866004348,0.16677537560462952,0.14067019522190094,8.059807777404785,0.03830155357718468,0.42932137846946716
0.246,-0.0010982101084664464,0.1683981716632843,0.14074714481830597,8.064216613769531,0.038471486419439316,0.43056899309158325
0.248,-0.0007581670070067048,0.17002151906490326,0.14082442224025726,8.068644523620605,0.03864398971199989,0.43181872367858887
0.25,-0.000414922134950757,0.17162244021892548,0.14090238511562347,8.073111534118652,0.03897922486066818,0.43195033073425293
0.252,-6.849018973298371e-05,0.17321597039699554,0.14098113775253296,8.07762336730957,0.039372265338897705,0.4327905476093292
0.254,0.0002811267622746527,0.17480848729610443,0.1410606950521469,8.082181930541992,0.03977900370955467,0.43393194675445557
0.256,0.0006339311366900802,0.17640219628810883,0.14114105701446533,8.086786270141602,0.040183912962675095,0.43518227338790894
0.258,0.0009899269789457321,0.1779979169368744,0.14122222363948822,8.091437339782715,0.04058147221803665,0.436474084854126
0.26,0.0013491188874468207,0.179595947265625,0.1413041651248932,8.096132278442383,0.04096963256597519,0.4377838969230652
0.262,0.0017115114023908973,0.18119628727436066,0.14138685166835785,8.100869178771973,0.041348423808813095,0.4390975832939148
0.264,0.002077109180390835,0.18279887735843658,0.1414702981710434,8.105650901794434,0.04171834886074066,0.44041168689727783
0.266,0.0024459166452288628,0.18440374732017517,0.14155445992946625,8.110472679138184,0.04207932576537132,0.4417301416397095
0.268,0.0028179383371025324,0.18601079285144806,0.1416393220424652,8.115334510803223,0.0424320362508297,0.4430476427078247
0.27,0.003193177981302142,0.18761983513832092,0.1417248696088791,8.12023639678955,0.04277791455388069,0.4443587064743042
0.272,0.003571639768779278,0.18923093378543854,0.14181110262870789,8.125177383422852,0.043116431683301926,0.4456768035888672
0.274,0.003953327890485525,0.19084401428699493,0.1418980062007904,8.130156517028809,0.043448276817798615,0.44699347019195557
0.276,0.004338245838880539,0.19245903193950653,0.14198555052280426,8.135171890258789,0.0437738262116909,0.4483107328414917
0.278,0.004726397804915905,0.19407586753368378,0.14207373559474945,8.140225410461426,0.044093869626522064,0.4496256113052368
0.28,0.005117786582559347,0.19569453597068787,0.14216256141662598,8.14531421661377,0.044408444315195084,0.4509432315826416
0.28200000000000003,0.0055124168284237385,0.1973150074481964,0.14225198328495026,8.150437355041504,0.04471766576170921,0.4522629976272583
0.28400000000000003,0.0059102908708155155,0.19893711805343628,0.14234203100204468,8.155596733093262,0.04502294957637787,0.4535757899284363
0.28600000000000003,0.006311412900686264,0.20056094229221344,0.14243268966674805,8.160791397094727,0.04532373324036598,0.45489516854286194
0.28800000000000003,0.006715785712003708,0.2021864801645279,0.14252392947673798,8.166019439697266,0.045619916170835495,0.45621800422668457
0.29,0.0071234130300581455,0.20381362736225128,0.14261575043201447,8.171279907226562,0.04591250419616699,0.45753657817840576
0.292,0.007534297648817301,0.20544230937957764,0.14270815253257751,8.17657470703125,0.04620196297764778,0.45885440707206726
0.294,0.007948443293571472,0.20707257091999054,0.14280112087726593,8.181900978088379,0.04648800566792488,0.4601767957210541
0.296,0.008365851826965809,0.20870435237884521,0.1428946703672409,8.187260627746582,0.04677112028002739,0.4614982306957245
0.298,0.008786526508629322,0.21033769845962524,0.14298877120018005,8.192652702331543,0.04705102741718292,0.46282410621643066
0.3,0.009210471995174885,0.21197248995304108,0.14308342337608337,8.198076248168945,0.04732850566506386,0.4641469717025757
0.302,0.009637689217925072,0.2136087715625763,0.14317864179611206,8.203531265258789,0.0476035438477993,0.4654723107814789
0.304,0.010068182833492756,0.2152465283870697,0.14327438175678253,8.209016799926758,0.04787604883313179,0.4668005704879761
0.306,0.010501953773200512,0.21688567101955414,0.14337068796157837,8.214534759521484,0.04814675450325012,0.468126118183136
0.308,0.010939006693661213,0.21852628886699677,0.143467515707016,8.22008228302002,0.0484151728451252,0.4694572389125824
0.31,0.01137933786958456,0.22016550600528717,0.14356490969657898,8.225663185119629,0.04870123416185379,0.4706513583660126
0.312,0.011822947300970554,0.22180499136447906,0.14366289973258972,8.231277465820312,0.04899349436163902,0.4719246029853821
0.314,0.012269838713109493,0.22344565391540527,0.14376147091388702,8.23692512512207,0.04928560182452202,0.4732433557510376
0.316,0.012720013968646526,0.2250877469778061,0.1438606232404709,8.242606163024902,0.04957582801580429,0.4745763838291168
0.318,0.013173476792871952,0.22673138976097107,0.1439603567123413,8.248320579528809,0.04986337572336197,0.4759173095226288
0.32,0.013630267232656479,0.22839505970478058,0.1440603882074356,8.25405216217041,0.05001956224441528,0.4781609773635864
0.322,0.014090404845774174,0.23006875813007355,0.14416061341762543,8.259794235229492,0.05011424422264099,0.4799388349056244
0.324,0.014553895220160484,0.23174548149108887,0.14426101744174957,8.265546798706055,0.05019606649875641,0.4813874363899231
0.326,0.015020742081105709,0.23342324793338776,0.14436157047748566,8.271307945251465,0.0502789244055748,0.4827417731285095
0.328,0.015490944497287273,0.23510125279426575,0.14446230232715607,8.277079582214355,0.05036844685673714,0.4840574860572815
0.33,0.015964502468705177,0.2367793172597885,0.1445632427930832,8.28286361694336,0.050465893000364304,0.48536422848701477
0.332,0.01644141785800457,0.23845745623111725,0.14466437697410583,8.288658142089844,0.05057104676961899,0.48667222261428833
0.334,0.016921689733862877,0.24013571441173553,0.14476574957370758,8.294466018676758,0.05068378522992134,0.4879809617996216
0.336,0.01740531623363495,0.24181300401687622,0.14486737549304962,8.300289154052734,0.05081159994006157,0.4892371594905853
0.338,0.01789226569235325,0.24347461760044098,0.14496947824954987,8.30613899230957,0.051056891679763794,0.4897755980491638
0.34,0.018382463604211807,0.24509918689727783,0.14507262408733368,8.31204891204834,0.05156858265399933,0.48925456404685974
0.342,0.018875883892178535,0.24671028554439545,0.1451769918203354,8.318028450012207,0.05218253284692764,0.4898420572280884
0.34400000000000003,0.019372520968317986,0.24831831455230713,0.14528264105319977,8.324081420898438,0.05282621830701828,0.49092456698417664
0.34600000000000003,0.019872376695275307,0.24992792308330536,0.14538957178592682,8.330208778381348,0.05346748232841492,0.49223169684410095
0.34800000000000003,0.020375458523631096,0.2515410780906677,0.14549775421619415,8.336406707763672,0.05409287288784981,0.49363774061203003
0.35000000000000003,0.0208817757666111,0.25315842032432556,0.14560715854167938,8.34267520904541,0.05469760671257973,0.49508416652679443
0.352,0.021391335874795914,0.25478029251098633,0.14571771025657654,8.34900951385498,0.055279865860939026,0.4965507686138153
0.354,0.021904148161411285,0.2564065754413605,0.14582939445972443,8.355408668518066,0.055840302258729935,0.4980204105377197
0.356,0.02242022380232811,0.2580372393131256,0.14594215154647827,8.361868858337402,0.056379497051239014,0.4994933605194092
0.358,0.022939566522836685,0.25967198610305786,0.14605595171451569,8.368389129638672,0.056899309158325195,0.5009603500366211
0.36,0.023462189361453056,0.26131072640419006,0.1461707502603531,8.374966621398926,0.057400599122047424,0.5024279952049255
0.362,0.02398809604346752,0.2629532814025879,0.1462865173816681,8.381599426269531,0.0578848198056221,0.5038918256759644
0.364,0.024517294019460678,0.26459941267967224,0.1464032232761383,8.388286590576172,0.05835333839058876,0.5053521394729614
0.366,0.025049792602658272,0.2662490904331207,0.14652083814144135,8.395025253295898,0.058806899935007095,0.5068129301071167
0.368,0.02558559738099575,0.26790210604667664,0.14663933217525482,8.401814460754395,0.059246934950351715,0.508269190788269
0.37,0.02612471394240856,0.2695583403110504,0.14675869047641754,8.408653259277344,0.059674255549907684,0.5097249746322632
0.372,0.026667147874832153,0.2712176740169525,0.14687886834144592,8.415538787841797,0.06008964776992798,0.5111802220344543
0.374,0.02721290849149227,0.27288001775741577,0.14699985086917877,8.422471046447754,0.06049419939517975,0.5126326084136963
0.376,0.027761999517679214,0.27454516291618347,0.1471216380596161,8.429448127746582,0.06088890880346298,0.5140825510025024
0.378,0.02831442467868328,0.2762131094932556,0.1472441852092743,8.436470031738281,0.061274249106645584,0.5155335068702698
0.38,0.028870193287730217,0.27788376808166504,0.1473674774169922,8.443533897399902,0.06165082007646561,0.5169844627380371
0.382,0.029429307207465172,0.2795569896697998,0.14749151468276978,8.450640678405762,0.062019575387239456,0.5184327960014343
0.384,0.029991772025823593,0.28123271465301514,0.14761628210544586,8.457789421081543,0.062381256371736526,0.5198798179626465
0.386,0.03055759333074093,0.28291091322898865,0.14774174988269806,8.464978218078613,0.06273573637008667,0.5213314294815063
0.388,0.031126776710152626,0.28459152579307556,0.14786791801452637,8.472207069396973,0.06308389455080032,0.5227805376052856
0.39,0.031699325889348984,0.28627443313598633,0.1479947715997696,8.479475021362305,0.06342639774084091,0.524228572845459
0.392,0.0322752445936203,0.28795963525772095,0.14812229573726654,8.48678207397461,0.06376352161169052,0.5256780982017517
0.394,0.032854530960321426,0.2896430492401123,0.148250550031662,8.49413013458252,0.06412333995103836,0.5269341468811035
0.396,0.033437181264162064,0.2913253605365753,0.14837954938411713,8.501521110534668,0.06450150907039642,0.5282195210456848
0.398,0.03402319923043251,0.29300856590270996,0.14850932359695435,8.508956909179688,0.0648840144276619,0.5296028256416321
0.4,0.03461258485913277,0.2946937084197998,0.14863984286785126,8.516435623168945,0.0652637854218483,0.5310376882553101
0.402,0.03520534932613373,0.2963810861110687,0.14877112209796906,8.523957252502441,0.06563857942819595,0.5324915647506714
0.404,0.035801488906145096,0.2980709373950958,0.14890314638614655,8.531521797180176,0.0660070851445198,0.5339580774307251
0.406,0.036401018500328064,0.2997632622718811,0.14903587102890015,8.5391263961792,0.06636905670166016,0.5354301333427429
0.40800000000000003,0.037003934383392334,0.30145806074142456,0.14916932582855225,8.546772003173828,0.0667247325181961,0.5369042754173279
